file	class	member	kind	loc	weight	classification	reason	coupled_tests_grep	w_tests	direct_tests	needs_fallback	target_rust_module	planned_task	category	line
src/astmodelmanager.ts		astProcessFile	function	7	7	TS	processFile callback is the pluggable parse seam: CTO text is parsed by concerto-cto in JS (tests stub Parser.parse); the resulting AST is what crosses into Rust	-	-	-	false	-	-	logic	19
src/astmodelmanager.ts	AstModelManager	constructor	ctor	3	1.5	TS	subclass wiring only: passes the AST processFile callback to BaseModelManager	B:astmodelmanager.js	-	n=2 astmodelmanager.js:2	false	-	-	glue	46
src/basemodelmanager.ts		getFileNameFromIdentifier	function	4	2	RUST		-	-	-	false	concerto_core::model_manager	P2-08+P4-08	glue	35
src/basemodelmanager.ts		defaultProcessFile	function	7	7	TS	processFile callback is the pluggable parse seam: CTO text is parsed by concerto-cto in JS (tests stub Parser.parse); the resulting AST is what crosses into Rust	-	-	-	false	-	-	logic	58
src/basemodelmanager.ts	BaseModelManager	constructor	ctor	18	9	HYBRID	creates the Rust ModelManager handle; also builds the TS Factory/Serializer, keeps the JS processFile callback and the options object (options.regExp, decoratorValidation)	B:modelmanager.js	-	n=2 modelmanager.js:2	false	concerto_core::model_manager	P2-08+P4-08	glue	113
src/basemodelmanager.ts	BaseModelManager	isModelManager	method	3	1.5	TS	constant-return member (type/kind marker or fixed default, body is `return <literal>`); stays as-is on the TS class, nothing to port	B:astmodelmanager.js,modelmanager.js	-	n=2 astmodelmanager.js:1,modelmanager.js:1	false	-	-	glue	136
src/basemodelmanager.ts	BaseModelManager	addRootModel	method	12	12	RUST		-	-	-	false	concerto_core::model_manager	P2-08+P4-08	logic	144
src/basemodelmanager.ts	BaseModelManager	isAliasedTypeEnabled	method	3	1.5	TS	constant-return member (type/kind marker or fixed default, body is `return <literal>`); stays as-is on the TS class, nothing to port	-	-	-	false	-	-	glue	161
src/basemodelmanager.ts	BaseModelManager	accept	method	3	1.5	TS	visitor dispatch entry point (accept -> visitor.visit); kept in TS, visitors call back into views	B:serializer/resourcevalidator.js,serializer/instancegenerator.js,introspect/classdeclaration.js,+8	-	n=37 serializer/resourcevalidator.js:27,introspect/classdeclaration.js:1,introspect/decorator.js:1,+8files	false	-	-	glue	171
src/basemodelmanager.ts	BaseModelManager	validateModelFile	method	9	13.5	HYBRID	string inputs go through the JS processFile callback (CTO parsing stays in concerto-cto); the add/validate/rollback logic runs in Rust	B:modelmanager.js	-	n=5 modelmanager.js:5	false	concerto_core::model_manager	P2-08+P4-08	validation	186
src/basemodelmanager.ts	BaseModelManager	addDecoratorModel	method	12	12	RUST		-	-	-	false	concerto_core::model_manager	P2-08+P4-08	logic	204
src/basemodelmanager.ts	BaseModelManager	_throwAlreadyExists	method	7	10.5	RUST		-	-	-	false	concerto_core::model_manager	P2-08+P4-08	validation	222
src/basemodelmanager.ts	BaseModelManager	addModelFile	method	25	25	RUST		B:introspect/modelfile.js,modelmanager.js,decoratormanager.js,+2	-	n=35 introspect/modelfile.js:13,modelmanager.js:10,decoratormanager.js:8,+2files	false	concerto_core::model_manager	P2-08+P4-08	logic	245
src/basemodelmanager.ts	BaseModelManager	validateAst	method	25	37.5	RUST		-	-	-	false	concerto_core::instance::metamodel	P3-04+P4-08	validation	278
src/basemodelmanager.ts	BaseModelManager	addModel	method	12	12	HYBRID	string inputs go through the JS processFile callback (CTO parsing stays in concerto-cto); the add/validate/rollback logic runs in Rust	B:modelmanager.js,astmodelmanager.js	-	n=3 modelmanager.js:2,astmodelmanager.js:1	false	concerto_core::model_manager	P2-08+P4-08	logic	319
src/basemodelmanager.ts	BaseModelManager	updateModelFile	method	22	22	HYBRID	string inputs go through the JS processFile callback (CTO parsing stays in concerto-cto); the add/validate/rollback logic runs in Rust	B:modelmanager.js	-	n=6 modelmanager.js:6	false	concerto_core::model_manager	P2-08+P4-08	logic	343
src/basemodelmanager.ts	BaseModelManager	deleteModelFile	method	7	7	RUST		B:serializer/resourcevalidator.js,modelmanager.js	-	n=5 serializer/resourcevalidator.js:3,modelmanager.js:2	false	concerto_core::model_manager	P2-08+P4-08	logic	370
src/basemodelmanager.ts	BaseModelManager	addModelFiles	method	50	50	HYBRID	string inputs go through the JS processFile callback (CTO parsing stays in concerto-cto); the add/validate/rollback logic runs in Rust	B:modelmanager.js,introspect/scalardeclaration.js,introspect/classdeclaration.js,+6	-	n=83 introspect/classdeclaration.js:23,introspect/scalardeclaration.js:18,modelmanager.js:18,+8files	false	concerto_core::model_manager	P2-08+P4-08	logic	385
